Date,Category,Description,Amount
2026-01-08,Groceries,Whole Foods,61.12
2026-02-22,Healthcare,Pharmacy,24.26
2026-03-01,Entertainment,Movie,42.42
2026-01-05,Transport,Uber,17.17
2026-03-09,Entertainment,Concert,85.84
2026-01-06,Utilities,Internet,97.0
2026-02-16,Healthcare,Doctor,120.45
2026-02-24,Misc,Other,89.73
2026-02-09,Clothing,Uniqlo,95.26
2026-02-21,Clothing,Uniqlo,183.34
2026-01-16,Clothing,Uniqlo,84.8
2026-01-13,Healthcare,Dentist,144.97
2026-01-30,Groceries,Whole Foods,31.61
2026-01-19,Dining Out,Local Restaurant,58.09
2026-01-17,Subscriptions,Spotify,12.41
2026-03-04,Education,Books,83.65
2026-01-19,Transport,Uber,33.47
2026-02-27,Groceries,Target,111.5
2026-02-24,Misc,Donation,5.41
2026-03-31,Transport,Lyft,12.51
2026-03-31,Clothing,Zara,146.91
2026-03-03,Entertainment,Video Game,69.97
2026-01-23,Misc,Gift,96.77
2026-01-09,Transport,Gas Station,39.25
2026-01-12,Clothing,H&M,190.89
2026-01-01,Transport,Uber,36.61
2026-02-27,Entertainment,Concert,36.82
2026-01-01,Clothing,Uniqlo,34.49
2026-02-03,Dining Out,Starbucks,64.73
2026-02-17,Groceries,Whole Foods,103.74
2026-03-30,Utilities,Electricity,57.23
2026-01-01,Education,Online Course,78.41
2026-01-16,Healthcare,Doctor,143.95
2026-03-02,Education,Books,105.08
2026-03-05,Misc,Gift,46.11
2026-03-04,Education,Books,96.96
2026-03-10,Clothing,Zara,53.64
2026-01-22,Dining Out,Local Restaurant,35.81
2026-03-08,Utilities,Water,105.47
2026-03-17,Groceries,Whole Foods,26.81
2026-01-26,Groceries,Target,119.78
2026-01-16,Entertainment,Concert,47.49
2026-02-20,Healthcare,Pharmacy,125.11
2026-03-27,Transport,Gas Station,43.27
2026-02-26,Dining Out,Starbucks,24.84
2026-01-29,Transport,Lyft,34.58
2026-03-19,Utilities,Electricity,120.84
2026-03-10,Education,Books,177.23
2026-02-16,Groceries,Whole Foods,48.05
2026-03-03,Utilities,Water,151.67
2026-03-10,Education,Supplies,125.47
2026-03-17,Groceries,Target,58.39
2026-01-16,Education,Supplies,35.95
2026-03-31,Healthcare,Pharmacy,101.23
2026-03-31,Dining Out,Starbucks,61.7
2026-02-17,Misc,Other,34.98
2026-03-26,Utilities,Electricity,146.72
2026-02-08,Utilities,Electricity,109.27
2026-02-02,Subscriptions,Gym,15.7
2026-01-23,Clothing,Zara,51.85
2026-01-10,Healthcare,Doctor,134.63
2026-03-10,Healthcare,Pharmacy,50.24
2026-02-03,Transport,Lyft,21.55
2026-02-21,Education,Online Course,21.04
2026-01-10,Clothing,Zara,35.63
2026-01-19,Dining Out,McDonalds,46.11
2026-02-27,Dining Out,Local Restaurant,28.73
2026-01-01,Healthcare,Doctor,126.97
2026-03-10,Dining Out,McDonalds,11.03
2026-01-04,Subscriptions,Netflix,10.69
2026-01-16,Utilities,Internet,100.6
2026-01-24,Entertainment,Concert,11.74
2026-03-21,Misc,Donation,16.81
2026-01-02,Transport,Gas Station,23.61
2026-02-01,Education,Supplies,103.64
2026-03-25,Misc,Gift,43.41
2026-01-24,Education,Books,110.88
2026-01-12,Groceries,Whole Foods,97.37
2026-02-19,Misc,Donation,5.94
2026-02-04,Entertainment,Movie,51.77
2026-02-02,Healthcare,Pharmacy,144.89
2026-02-02,Subscriptions,Spotify,12.79
2026-03-02,Utilities,Electricity,151.63
2026-02-20,Utilities,Water,96.78
2026-02-12,Subscriptions,Spotify,16.61
2026-01-12,Clothing,Zara,157.99
2026-03-08,Groceries,Whole Foods,87.77
2026-03-06,Education,Supplies,195.44
2026-02-02,Entertainment,Video Game,21.3
2026-02-09,Dining Out,Starbucks,11.19
2026-03-15,Misc,Donation,78.17
2026-02-12,Groceries,Whole Foods,124.93
2026-02-13,Misc,Gift,16.42
2026-01-29,Entertainment,Concert,33.9
2026-01-13,Transport,Uber,5.79
2026-01-12,Transport,Uber,18.2
2026-02-15,Groceries,Target,120.51
2026-01-02,Healthcare,Doctor,82.51
2026-02-04,Entertainment,Movie,41.33
2026-03-28,Entertainment,Movie,43.46
2026-03-22,Subscriptions,Gym,5.02
2026-03-31,Healthcare,Dentist,51.97
2026-01-08,Education,Online Course,132.83
2026-01-26,Education,Supplies,195.1
2026-03-15,Dining Out,Local Restaurant,69.29
2026-03-31,Utilities,Internet,53.54
2026-02-03,Transport,Gas Station,45.44
2026-01-07,Education,Books,158.81
2026-03-09,Healthcare,Doctor,119.25
2026-02-27,Entertainment,Video Game,51.22
2026-03-16,Education,Books,85.62
2026-01-29,Entertainment,Movie,37.26
2026-02-05,Education,Books,22.48
2026-03-30,Transport,Gas Station,15.27
2026-01-21,Misc,Other,28.43
2026-02-05,Education,Online Course,101.97
2026-01-10,Healthcare,Dentist,114.64
2026-03-14,Education,Supplies,100.02
2026-01-24,Utilities,Electricity,58.68
2026-03-05,Transport,Lyft,48.1
2026-02-18,Healthcare,Dentist,141.98
2026-02-05,Subscriptions,Gym,16.78
2026-03-23,Healthcare,Pharmacy,148.79
2026-01-24,Utilities,Electricity,131.67
2026-01-23,Misc,Other,96.46
2026-03-03,Transport,Lyft,8.4
2026-02-06,Subscriptions,Spotify,10.49
2026-01-12,Utilities,Electricity,83.81
2026-02-24,Utilities,Electricity,79.37
2026-01-13,Groceries,Whole Foods,38.3
2026-01-23,Transport,Uber,33.01
2026-03-30,Healthcare,Dentist,119.39
2026-01-30,Entertainment,Concert,62.05
2026-01-17,Misc,Donation,18.96
2026-03-03,Entertainment,Video Game,83.0
2026-03-25,Healthcare,Pharmacy,99.03
2026-03-30,Healthcare,Doctor,64.34
2026-03-27,Transport,Uber,35.34
2026-01-13,Healthcare,Doctor,46.39
2026-02-28,Groceries,Whole Foods,64.87
2026-01-19,Subscriptions,Gym,18.76
2026-02-18,Healthcare,Dentist,50.67
2026-01-12,Entertainment,Concert,52.3
2026-03-02,Healthcare,Pharmacy,134.62
2026-01-19,Groceries,Walmart,112.0
2026-03-17,Education,Books,21.82
2026-01-09,Education,Online Course,37.99
2026-03-12,Utilities,Water,51.18
2026-01-28,Misc,Donation,64.94
2026-03-19,Dining Out,Starbucks,41.34
2026-02-21,Subscriptions,Spotify,7.01
2026-03-24,Clothing,H&M,192.22
2026-01-16,Utilities,Water,129.45
2026-03-10,Misc,Donation,27.98
2026-01-12,Education,Books,105.11
2026-01-25,Entertainment,Concert,71.17
2026-02-21,Clothing,H&M,29.1
2026-03-26,Misc,Gift,31.1
2026-02-22,Misc,Other,81.66
2026-01-23,Utilities,Internet,118.95
2026-01-16,Clothing,Uniqlo,116.12
2026-02-26,Transport,Gas Station,24.48
2026-02-08,Dining Out,Starbucks,13.07
2026-02-22,Transport,Gas Station,12.46
2026-02-11,Clothing,H&M,97.43
2026-02-27,Transport,Lyft,14.41
2026-02-08,Groceries,Whole Foods,26.5
2026-01-14,Education,Books,170.29
2026-01-05,Groceries,Target,147.56
2026-02-04,Healthcare,Doctor,121.04
2026-03-28,Transport,Gas Station,43.42
2026-03-16,Healthcare,Doctor,43.88
2026-01-18,Entertainment,Movie,96.46
2026-03-17,Subscriptions,Spotify,7.95
2026-01-09,Entertainment,Movie,95.63
2026-03-15,Clothing,Zara,199.04
2026-02-27,Misc,Other,72.61
2026-01-17,Education,Books,196.42
2026-01-07,Transport,Lyft,30.63
2026-02-15,Utilities,Water,88.93
2026-01-13,Subscriptions,Spotify,11.55
2026-02-09,Dining Out,McDonalds,51.55
2026-02-11,Dining Out,McDonalds,15.12
2026-01-09,Dining Out,McDonalds,53.56
2026-02-19,Transport,Gas Station,49.15
2026-01-27,Dining Out,Local Restaurant,23.31
2026-03-07,Groceries,Walmart,123.04
2026-01-05,Subscriptions,Spotify,18.62
2026-01-29,Groceries,Whole Foods,142.68
2026-02-06,Misc,Gift,96.21
2026-02-07,Subscriptions,Spotify,12.82
2026-03-24,Groceries,Whole Foods,147.05
2026-01-08,Subscriptions,Spotify,16.36
2026-03-06,Misc,Donation,20.36
2026-03-27,Healthcare,Doctor,76.77
2026-01-17,Transport,Lyft,37.32
2026-03-12,Transport,Gas Station,16.13
2026-03-30,Dining Out,Local Restaurant,54.84
2026-02-14,Entertainment,Video Game,69.99
2026-01-04,Dining Out,McDonalds,21.39
2026-02-05,Clothing,Uniqlo,119.54
2026-03-11,Groceries,Target,120.31
2026-01-31,Subscriptions,Gym,12.48
2026-01-19,Entertainment,Concert,11.09
2026-03-02,Misc,Gift,5.86
2026-02-23,Clothing,Zara,81.05
2026-02-08,Misc,Donation,92.99
2026-03-15,Transport,Lyft,15.29
2026-03-31,Transport,Uber,33.55
2026-01-19,Dining Out,Local Restaurant,25.55
2026-02-08,Groceries,Whole Foods,61.82
2026-03-08,Entertainment,Movie,86.32
2026-02-14,Education,Online Course,148.48
2026-01-13,Clothing,Uniqlo,32.65
2026-02-27,Clothing,H&M,94.31
2026-01-20,Dining Out,Local Restaurant,12.04
2026-03-13,Transport,Uber,26.64
2026-03-02,Dining Out,Starbucks,56.37
2026-02-08,Subscriptions,Gym,6.78
2026-01-01,Entertainment,Movie,36.0
2026-01-03,Groceries,Whole Foods,71.72
2026-03-18,Healthcare,Dentist,138.73
2026-03-03,Utilities,Internet,198.99
2026-03-04,Utilities,Internet,56.74
2026-01-25,Dining Out,McDonalds,63.27
2026-02-25,Subscriptions,Spotify,10.58
2026-02-02,Entertainment,Movie,45.32
2026-02-07,Education,Books,153.31
2026-01-06,Utilities,Electricity,187.76
2026-02-27,Entertainment,Concert,95.58
2026-02-13,Groceries,Whole Foods,95.03
2026-02-14,Misc,Other,38.93
2026-02-01,Subscriptions,Gym,16.81
2026-02-14,Transport,Lyft,16.3
2026-03-02,Entertainment,Video Game,60.77
2026-02-16,Groceries,Target,66.62
2026-01-21,Education,Supplies,134.76
2026-03-21,Healthcare,Dentist,43.66
2026-03-26,Transport,Uber,13.62
2026-03-16,Healthcare,Doctor,138.55
2026-02-05,Education,Books,29.34
2026-01-19,Groceries,Walmart,85.77
2026-01-20,Utilities,Electricity,83.13
2026-02-26,Healthcare,Doctor,15.45
2026-01-18,Transport,Lyft,6.62
2026-02-16,Dining Out,Local Restaurant,22.27
2026-02-18,Clothing,H&M,175.35
2026-01-14,Entertainment,Video Game,35.42
2026-01-15,Utilities,Electricity,192.57
2026-01-31,Healthcare,Doctor,91.43
2026-01-01,Misc,Donation,46.48
2026-02-23,Entertainment,Concert,62.21
2026-01-03,Dining Out,McDonalds,46.17
2026-01-16,Education,Online Course,154.17
2026-03-28,Clothing,H&M,67.26
2026-02-26,Groceries,Whole Foods,65.9
2026-03-16,Dining Out,McDonalds,72.59
2026-01-12,Dining Out,Local Restaurant,76.25
2026-03-15,Education,Books,179.59
2026-01-16,Subscriptions,Gym,11.29
2026-03-13,Education,Online Course,158.27
2026-03-17,Subscriptions,Gym,12.15
